Review,label,confidence
1.75 boy 65 kg olarak m beden aldım ama baya sıktı umarım azcık esner. Beyaz pantolunun içine giydim içimi gösterdi ama çok rahatsız etmedi. Ürünüm tuhaf bir kumaşı var ve tuhaf kokuyo çözemedim,1,2
Ürün elime sağlam bir şekilde ulaştı renginden çok emin değilim,1,1
Fiyatına göre gayet güzel bir çorap tavsiye ederim.,2,3
Cook başarılı resmen 2 ton acildik,2,3
bazıları delikli çıktı ve bir beden büyük alınmalı,0,2
Cok güzel geldi,1,1
"Güzel ürün. 3yıldız vermemin 
1.sebebi resimdeki ürün gelmedi. Desenli ürün geldi. Şansa koltuk kılıfları ile uyumlu oldu yoksa iade edecektin. 
2. Sebebi birleşimi cırtlar ile yapılıyor. Pek sağlıklı durmuyor. Zamanla yoz aldıkça içindeki eşyalar baskı yaptıkça sağı solu açılacak. Daha sağlam olması için geliştirilmesi lazım. Büyüklük ve malzeme kalitesi olarak güzel ürün",1,1
beğendim. hem görünüşü hem de gücü iyi.,2,3
kızım ve kendim için aldım gayet rahat,1,2
kardeşime aldik beğendi ama ben begenmedim saat cok gereksiz kulaklık idare eder,1,2
ürün aşırı güzel ilköğretime başlayan her çocuğa alınmalı en güzel yanı da silinip tektar kullanabilmesi,2,3
çok güzeldi ama bana büypk oldu o yüzden iade 37 numara alcam,2,3
paketleme özensiz dümdüz gönderilmiş,1,2
"Kargo konusunda cidden dikkat etmeleri razım kenarları darbe alıyor ve hiçbişeyle korumamışlar ben yine şanslıydım, bunun dışında masa sağlam bir montajlar baya iyi fiyatına göre güzel ☻️",1,1
ayyy çok güzelll ikisini 190 a aldım cok uyguna geldı ve koruması da cok yuksek,2,3
Ürün orta kalite diyebiliriz iş görür kilitle ilgili sorun vardı kendimizce halletik AMA KARGO sorun yaşadık 2. Kata çıkarmadılar malesef girişe bırakıp gittiler,1,1
müthiş bir çanta seyahatlar için vazgeçilmez ve oldukça geniş,2,3
Çok  güzel baya kullanışlı,2,3
Çok kaliteli ses düzeyi şarjı çok iyi beğendim,2,3
"Arabamdaki pas lekesinde denedim hiç bir değişiklik olmadı , dikiş makinesinin metal tekeri pastan dönmüyordu bolca sıktığım halde işi yaramadı.",0,2
Ürün çok güçlü iyi ki almışım,2,3
"herkes ovdu ovdu bitiremedi, sonunda aldim. evet jel barlarin olmasi kesinlikle cok guzel, cildi tahris etmekten koruyor olabilir ama bicaklar tuyleri iyi almiyDevamını Oku",1,1
arkadaşıma aldım çok yakıştı ve severek giyiyor,2,3
"Elbiseleri yükleyince yamuluyor, L demirlerle alttan destek yapmak zorunda kaldım",1,2
her yeri defolu 5 para etmez iade ettim,0,3
indirimden 159 tl ye aldim gayet memnunum,2,3
Çekinerek sipariş vermiştim ama iyiki de almışım. ilk kez ütülerken başlığını taktım sonra elim alıştıktan sonra başlığı çıkartıp bir kenara koydum. İlk kez dikDevamını Oku,2,3
çok iyi kaliteli sorular👍 sorunsuz elime ulaştı.,2,3
askilar biraz daha aralıklı olabilirdi bir pantolonu alırken diğeri düşüyor biraz ugrastiriyor,1,2
Güzel ama ilerleyen zamanlarda teli çıkıyor.,1,1
Cok güzel ürün sorunsuz elime geçti,2,3
ürünün kumaşı kalitesini hiç beğenmedim. naylonumsu. m bedenim s aldım o bile epey salaş,0,1
ürün hem küçüktü hem naylonsu inceyfi hemde ipleri bel kisminin belli oluyordu bir beden daha buyuk alınmali bence alınıcaksa iadee,1,2
Bi işe yaramadı bende,1,2
kumaşı kalitesiz tavsiye etmem,0,3
Çocuğuma aldım çok beğendi,2,3
aynisi geldi güzel bir ürün beğenerek takıyorum,1,1
Aşırı tatlış ve uygun fiyatlı 200dü,2,3
urunun kutusunun durdugu yerde sarjı bıtıyo kulaklıkların sarjı oldugu halde kutunun olmadıgı ıcın kulaklık acılmıyo satıcı yardımcı olmuyo bın pısmanım,0,3
ceyiizim  icjnn aldim evrede arzum kullanıyoruz f/p ürünü tavsiye ederim,2,3
hasarsiz geldi guzel,1,2
ürün ince ama güzel beğendim bir beden büyük aldım,1,1
16 çalışma kağıdı gelmedi,0,3
Ürünü teslim alıp kurdum Aklınız varsa siz kurmayın çok ama çok zor çünkü bağlantı aparatları berbat derecede kötü Mdf kalitesi çok kötü Suntalam olsa daha iyi olurdu kağıt gibi mdf kalitesi var.Paketleme  iyiydi ama oldukça ağır Dolap kulplarını takmak çok zor saçma bşr somun sistemi var çok uğraştırdı.,0,2
"Şimdi, 404 yapıştırıcıyi daha önce kullandığım için aldım ama bu mağazanın gönderdiği ürün tamamen farklı. Zaten yorumlara bakarsanız herkese aynısını yapmış. Kimse ses çıkarmadığı için sanırım işletme bu şekilde davranıyor. İade etmeyeceğim ama gerekli yerlere şikayet edeceğim.",0,3
nişan bohçası için aldım gayet ideal,2,3
Malzeme kalitesi kötü,0,2
5 yıldızı hak ediyor çok güzel kargolandı,2,3
eşime qldim bir ay gibi kısa bi sürede 3 parçaya bolundu,1,2
Çok övüldüğü için denemek istedim kokusu biraz ağır ama güzel. Kalıcılığı hiç yok sıktıktan yarım saat sonra koku kalmıyor öylesine kullanacağım ama tekrar almam gönderilen tester keşke erkek parfümü olmasaydı,1,1
Ürün kaliteli lakin baya bi çekme yaptı. M beden giyiyorum S bedene dönüştü. 5 tane almıştım 5ide çekti. Tavsiyem 1 beden büyük almanız. Tecrübeyle sabittir. Bir de 1 i M istememe ramen S beden geldi.,1,1
Raf kısmı tam oturmuyor eğimli kalıyor.,1,2
Ertesi gün elime ulaştı ve devamlı kılıflarını tercih ettiğin satıcı çok güzel çok kaliteli ve kullanışlı herkese tavsiye ederim,2,3
İnce telli saclarim olmasına rağmen süper kurtarıcım oldu kendisi çok memnun kaldım,2,3
Ürünler elime ulaştığında ürünler gelişi güzel kartonun içine fırlatılmış bazıları patlamış bir şekilde geldi,0,3
Demirin boyası kalkıyor ama fiyatına göre idare eder,1,2
Bana gelen ürünün fotoğraftaki ile hiçbir alakası yok geri iade edeceğim,0,3
m benden sipariş ettim L beden gelmiş ama çektin görünüşü güzel,1,1
"Benim sipariş verdiğim numaratör, bana gelen köpek Eğitim ışığı!! Bu kadarına da pes!!! Bunun nesi numaratöre benziyo??",0,3
Ev kullanımı işin ideal kalıp geniş tam beden alabilirsiniz çok kalın değil çok ince de değil ben ev içerisinde kullanmak için aldım beklentimi karşıladı,2,3
beğenmedim çok ince,0,3
Bu fiyata bu ürün harika aynıları geldi boyutları ideal,2,3
"Çok eğleniyoruz oğlumla,bu seriler çok iyi,emeğinize sağlık",2,3
Görseldeki gibi değil renkleri farklı,1,2
"Görseldeki gibi renkli gelmedi moral bozucu bir durum ama 
 fiyatına göre uygun",0,3
güzel ve kullanışlı çocuklar için aldık,1,1
aşşiri güzel şık bişey alın aldırın,2,3
Satıcı ürünü 20 gün sonra yolladı artık ümidi kesmiştim 😡,0,3
Çok beğendim hızlı kargo sağlam paketleme çok iyi ve ürün görseldeki gibi güzel tavsiye ediyorum,2,3
ürünü beğendim gayet sağlam ve güzel gelmişti teşekkürler,2,2
Son aldığım üründe kalite biraz düşmüş ama en önemlisi ebebek kargo firmasını değiştirse çok iyi olacak hepsijet in bir günde yaptığını PTT 3 günde yapamıyor.,2,3
lastikleri çok sıkı onun dışında iyo,1,2
hayatımda gördüğüm en kötü kil maskesi a101den aldığım kıytırık kil maskesi bile temizliyor asla gözenekleri temizlemiyor 0 etki,0,3
Bu yayının aktivite kitaplarını severek kullanıyoruz hemen hemen her kitabından aldık tavsiye ederim 🌸,2,3
Güzel ürün yumuşak bir dokusu var,2,2
Kusurlu ürün geldi kullanmak için pompasının çalışması lazım sürekli açıp kendi çabamla içinden çıkarmak çok saçma satıcıya yazdım ama cevap alamadım ilgilenmediler maalesef küçücük şişeye bu kadar para verdikten sonra en azından adam akıllı bişey kullanabilseydim üzülmedim,0,2
Ürünü sipariş edelim 2 hafta oldu.Halen hazırlanıyor diyor.,0,3
Biraz hava basarken güç süz kalıyor direk duruyor,1,2
Dokusu çok kötü l aldım ama çok büyük naylonumsu bi kumaş,0,3
Gelen her parçanın yanları soyulmuş. Paketi açtığımız andan itibaren fiyasko. İçi aşırı dandik kapağı kapatınca içindeki tahtalar düşüyor. Berbat bi ürün,0,3
2 yaş için uygun değil. içerikteki etkinliklerin bazısı 3 yaşa bazısı 4 yaşa uygun. bizim şu anki ihtiyacımızı karşılayamadı maalesef.,0,3
Sipariş hemen elime ulaştı. Ses kalitesi gayet iyi. Çok yüksek ses istemeyen biri iseniz size de yeterli gelecektir. Kulağa oturuşu güzel. Düşecek hissi vermiyoDevamını Oku,2,3
çok beğendim eşim için aldım tüm detayıyla güzel parfüm kokusu da çok güzel,2,3
GÜZEL KALİTELİ FAKAT TAVSİYEM BEDENDE 1 BOY KÜÇÜĞÜNÜ ALMALISINIZ.,2,3
"Kumaşı çok güzel, yumuşak ve önü açık değil, tam beden mutlaka alınması gereken bir ürün",2,3
biraz fazla büyük,2,3
çanta çok güzel çok kaliteli bi ürün,2,3
bileklikler güzel ama fazla uzunlar bi de benim bileğim ince olduğu için ekstra uzun oldu ayarlaması da zor oluyor,1,1
3xl aldım dar kalıp mış.,0,2
yeğenim için aldım bakalım inşaallah iyi çıkar.,1,1
"olmadi malesef bedeni iade ettim , ama urun guzeldi",0,1
fiyatına göre güzel ürün alınabilir. 36 bedeni tam oldu.,2,3
"Fatura yok, Paketleme çok kötü özensiz ayakkabıya zarar verecek şekilde",0,3
ürün güzel paketleme falan da g0zwldi,1,1
"Urun her zamanki wd40. Gayet basarili bir performansi var. Ancak bu urunde pazarladiklari ""akilli pipet"" olayi cok islevsiz. Akilli pipet dedikleri sistemin etrafindan wd40 akitiyor. Ve bu yuzden pipetin ""akilli"" kismini kirip pipetin agzinidogrudan icine takarak kullanmak zorunda kaldim. Hic boyle seyler icin ek para vermenize gerek yok. Anam babam usulu pipetin yanina yapistirilmis geldigi versiyonu kullanmaniz yeterli. Bu ""akilli pipet"" olayi hic kullanisli degil.",1,2
Eşim için aldım çok memnun kaldı,2,3
Eşime aldım sıcak tutuyor görüntüsü çok hoş,2,3
Iki yıldız maket bıçağı için verdim 2 paket de yedek uç gelecekti 1 paket geldi  değerlendirmeden bir şans vereyim dedim satıcı sorumu yanıtlamadı kendi bilir,0,2
Çok özenli gönderilmiş gerçekten tebrik ediyorum. Kolyeler çok kaliteli tereddüt etmeyin rengi çok canlı incisi öyle uyduruk değil çok beğendim teşekkür ederim.,1,1
çok beğendik çok kaliteli,2,3
ben begendim arkadaslar. guzel alabilirsiniz. kararma yaparsa guncelleme yapacagim,2,3
Tasarım olarak güzel ama sağlamlık bakımından güven vermiyor. Ürünün ayaklarının montaj edildiği tahta kısımlardaki vidalanmış kısım her an dağılabilir. Bizimki biraz dağıldı. Çünkü tahta tamamen sunta üstü kaplanmış. Sağlamlık bakımından sanırım bu kadar paraya bu kadar sağlam oluyor. Sanırım biraz paraya kıyıp daha sağlam bir şey almak lazım.,1,1
Güzel ürün kullanışlı begendim,2,3
müthiş çok güzel yapısı var,2,3
biraz küçük ama bu fiyata göre çok ideal,1,2
"Yazıldığı gibi kolay orta zor şeklinde değil, hepsi neredeyse aynı seviyede",1,2
Fıstık dolgulu sipariş vermeme rağmen vanilya dolgulu gönderilmiş. Fatura fıstık dolgulu olarak geldi ancak ürün vanilya dolgulu.stokta kalmadıysa bile nezaten sorulabilirdi.kahve dünyasına yakıştıramadım. Bu son alisverisim oldu. 😡😡😡,0,3
Kapalı kutu iyi bir şekilde kargolabdı. Montajını sorunsuz yaptım sorunsuz çalışıyor şuanda  oldukça kaliteli duruyor. Uzun dönem kullanımda göreceğiz.,2,3
Kalite olarak güzel ama aşırı ağır bir şemsiye ve çok zor kapanıyor o yüzden almamak daha iyi olabilirdi,1,1
boyutu biraz küçük 200 ml paketlemesi güzeldi hızlı geldi,0,3
Yanlış beden gönderildi ve sökülme var,0,3
hiç beğenmedim kolları bol vücut kısmı dar çok değişik bı kumaşı var,0,3
güzeller begendimm,1,1
Serinin diğer kitaplarına nazaran alınmaya değer bir kitap.,1,2
10 gün oldu sipariş vereli hâlâ bekliyoruz..,0,3
Saçlarımı yumusak ve düz yapıyor güzek,1,2
Siyah nokta konusunda hiç bir işe yaramıyor,0,3
Fiyat performans ürünü çok güzel ve vintage duruyor,2,3
3 adete 600 tl verdik çok iyi,2,3
hem kardeşime hem arkadaşıma aldım ürün iyi,2,2
ürün göründüğü gibi geldi ben beğendim de beğenmedim de garip yani tam olarak bilmiyorum gözüm alışmadı böyle bilmiyorum eğer ilerde hoşuma gitmezse güncellerimDevamını Oku,2,2
Belli bi süre sonra akıyor uyguna aldim yoktan iyi,1,1
Üründe ufak ufak lekeler var o yüzden iade edeceğim,0,3
çok güzel tokalar sıkı ve kaliteliler,2,3
kitabı çözmeye başlayınca fark ettim kitapta nerdeyse 50 60 sayfa eksik kitap sayfa 32 den birden 92 ye atlıyor ben böyle bir rezillik görmedim cidden napıcam bDevamını Oku,0,3
ürün güzel hacim veriyor fakat bir kaç saat içinde pul pul dökülmeye başlıyor bi miktar da gözlerimi yaktı. paketleme gelişi güzel kutunun içine atılıp gönderilmişti,0,2
Anneme aldım çok hızlı elime ulaştı çekim gücü çok iyi,2,3
Mükemmelll💕💕💕💕💕💕💕,2,3
fotograftakilerin aynisi gelmedi malesef yinede güzel:(,1,1
Günlük giyilir güzel,1,1
beğendim tüy dokuyo ana yikayica geciyo,1,1
kırık geldi geri iade etmeye çalışacağım,0,3
Eşime aldık çok kibar duruyor yüzde,2,3
eh işte kırılacak gibi,0,3
Ürün anlatıldığı gibi güzel,2,3
bir kac gundur kullanıyorum kokusu cok guzel suanlık bi beyazlatma etkisi gormedim ama yumusatması ve nemlendirmesiccok gyzel,2,2
Beyazlatmasından memnun kalmadım,1,1
ben çok beğendim tam bedeninizi alın bence,2,3
Kargom elime 1 haftada ulaştı ama gayet güzel özenilmiş paketlenmiş şekildeydi zarar ve defarmasyon yoktu üründe. Kulaklıktan çok memnunum gayet sesi güzel dışaDevamını Oku,2,3
Matkap uçları ve çanta biraz kalitesiz ama olsun sonuç olarak kullanılan şey matkap. Matkap ucu falan dışarıdan da temin edilebilir.,0,1
Değmez almayın ayakkabı hemen katizleri oluştu ve rahat değil.,0,3
"Aldıktan sonra indirime girdi yaklaşık 5bin  daha ucuz şuan,ürün güzel ancak fiyat politikaları yanlış,herhangi bir ürün aldıktan sonra o üründe ciddi indirimler olması insandaki alışveriş hevesinide kaçırıyor.",0,3
Resim gözüken ile hiç bir alakası yok işinizi temiz yapın,0,3
çok ince kağıt gibi 165 boy 73 kilo bana olmadı maalesef kemer küçük geldi iade,0,2
Sorular çok iyi ve kağıt  kalitesi çok iyi ne kadar silsem de bir yıpranma olmuyor,2,3
güzel kitaplar iyi günlerde yapmak nasip olsun,2,3
Ürün idare eder ayakları daha kurarken kırıldı dısarıda kanak yaptırdım,1,2
"Marka kalitesi yok maalesef, kalıba göre kısa ve yıkandıkca hafif dönme yapti",1,2
Kargo bedava geldi indirimde diye aldım paketleme özenli gibiydi fakat kapağı kırık çıktı o şekilde paketlenimsti,0,3
Hiçbir işe yaramayan dekoratif ve gece lambası olarak kullanılabilir.,1,2
Penti satıcısından almama rağmen mağazadan değişim yapmadılar. Kutusunu attığım için iade de yapamıyorum aldığı. Ürün elimde kaldı resmen,0,2
"Harika tarifler var,inanılmaz işime yaradı. Ek gıdaya yeni başlayan annelere tavsiyemdir.",2,3
harika defalrca aldığım bı ürün ve çok uygun,2,3
"Hızlı teslimat, sağlam kargo, çanta rengi ve kalitesi müthiş teşekkürler.",2,3
Urun beklediğim gibi puan kırmam sadece  kapaklarının eksik olması,1,1
Kontür rengi biraz açık renk ve ürünün dağılması zor ama bu fiyata alınabilecek iyi bir ürün,2,2
kendime aldım tek kelimeyle çok sevdim ben çok kalın çorap gidemem kalın bir çorap değil ama beklentimiz başarılı bisekkilde karsilaf,2,2
Güzel bir ürün bence kendi bedeninizin mutlaka bir beden belki 2 beden bile küçüğü alınabilir. Gerçekten bol ama salaş sevenler tam beden almalı. 👍,1,1
İçine not koymayı akıl ediyorlar ama Gagalı olarak satılan ürüne aparatı koymadan yolluyorlar. Sonrada güzel yorum bekliyorlar.,0,3
"Ürün idare eder. alarm var, saat başı ve alarm saatinde sesli ikaz var. kronometresi güzel. Ancak ömrü kısa. 7 ayını dolduramadan  , herhangi bir çarpma düşme olmadan geldiği halinin resmini paylaşıyorum. 
Ayrıca haftada yaklaşık 80 saniye ileriye gidiyor.  Tek yıldızın esas sebebi bu...",0,3
Aşırıı güzelll çok iyi fiyata almışım siyahını da almak istiyordum indirime girerse alıcam,2,3
"Ürünü uzun süredir alıyoruz. İlk defa böyle bir kargo yapıldığını görüyorum. Daha önce hep kutulu gelirdi, buna anlam veremedim.",1,2
Ürün gayet güzel geldi kargo da hızlıydı ve paketleme sağlamdı. kullanmaya başladım ses kalitesi de güzel bir sorun çıkmadı şimdilik satıcıya çok teşekkür ediyoDevamını Oku,2,3
Annem için aldım. Beğenerek kullanıyor.,2,3
teşekkür ederim ürününüz gayet güzel,2,2
Ürün eski halinin yarısı kadar pamuklu geldi. Yeşil paketteki kadar kalın. Fason üretim olduğu için ince olduğunu düşünüyorum. Henüz denemedim sızdırır mı bilmiyorum. Tanesi 4 buçuk liraya geldi. Bu fiyata da bu kadar olur. Ancak kalitesine güvenip almıştım. Hayal kıırıklığı oldu.,1,2
Ürün henüz elimize ulaşmadı.  kargo teslim ettim diye yazsada başkasına teslim edilmiş. Bu yüzden ne olumlu ne de olumsuz yorum yapmıyorum.Sadece ah aras kargo Devamını Oku,1,2
kargo hızlıydı paketleme güzeldi. sadece yakası çok asagidaymis . kalpleri de biraz soluk onun haricinde beğendim.  57 kiloyum m beden aldım rahat oldu,1,1
Hediye paketi istemiştim o şekilde gelmedi ama ürünler güzel,1,1
Malzeme kalitesi çok zayıf.,0,2
güzel göründüğü gibi geldi bedeni büyük geldi ama değişimle uğrasamam onun dışında gelir gelmez yıkayın çünkü boyası akıyor,1,1
Çok iyi bir güneş kremi Harika 🤩,2,3
iki ürün istedim 1 geldi diğeri gelmedi indirim iptal oldu çok. kötü firma,0,3
Oldukça sağlam tokalar.Çok beğendim.Tesekkurler,2,3
Ürün güzel ama kalem hediye yazmislar ama kalem gelmediii  nedenn,0,3
Alınabilir fiyatına göre gayet güzel,1,1
Geç geldi eksik geldi son geleni bakmadım evde olmadığım için görevli teslim almış. Bakacağım eksikmi tammı.Fotografts gelenler üstte sipariş tamamı altta.,0,2
Paketle çok güzel hiç denemeden kokuları aldım ama çok güzel kokuyor teşekkür ederim mad parfüm 😊🌸,2,3
Kalitesi o kadar iyi değil...,1,1
mükemmel bir ürün tavsiye üzerine aldım ve çok memnunum,2,3
Malesef aşırı ince bu kadar ince beklemiyordum fiyat olarak uyguna geldi ama molfix izotonik ıslak mendile devam,0,2
kızım beğendi...,1,2
Güzel tam beden,2,3
Kargoda dökülmüş. Biraz özenli paketleme yapınız. Kapağına bir bant yapıştırsaydınız bir damla bile dökülmezdi.,0,3
"soda gerçekten çok kötüydü asit hç yok  gibi nası bi şekeri varsa 3 gün dişlerimin arasından o şeker tadı gitmedi yeminle evde kimse bidaha 2 ci şişeyi açmaya cesaret edemedi olduğu gibi duruyor sodalar okadar kötü tadı 
bi nevi şekersiz zero  kola diye satılan kola gibi ama o bile bukadar şekerli değildi herhalde",0,3
"Sehpalardan birinin kenarı k.ırık geldi,gönderin yenisini yollayalım dediler,gönderdim tekrar k.ırık gönderdiler..Öyle güzel paketlenmişki iddia ettikleri gibi kargoda zarar görmüş olması mümkün değil..Tekrar göndermelerini beklerken iade sürecim bitti.Fazla ürün seçeneği üzerinden tüm sehpaları geri gönderdim paramın iadesini yapacaklarını söylediler..3 ay oldu süreç ne oldu diyorum hiç bir sorum yanıtmanmıyor..Paramda iade edilmedi..Hiç önermiyorum almayın..",0,3
ürünler çok güzel çok begendim,2,3
beğenmedim kart çıkarma düğmesi biyere takılsa hemen açılır okadar gevşek,0,3
Bu ürün bu satıcıdan aldığım 3. Ürün ikisi düzgün geldi üçüncüde başka bir radyo göndermişler bana bir WhatsApp numarası verdiler oradan ulaşabileceğimi söylediDevamını Oku,0,3
Geldi kışa göre ince ama mevsimlik gayet güzel bir takım beğendim ben🩷🌺 L aldım tam oldu bir 54 kiloyum gayet güzel oldu 👍,2,3
Dizlik sipariş verdim eldiven geldi. Brava 👏👏,0,3
Çok çabuk esniyorlar,0,2
Kalitesi hiç iyi değil geldiği gün tek bacağı kırıldı kökünden.,0,3
bu fiyata üç tane gözlük için normal.ebati biraz küçük ama benim yüzüm küçük olduğu için sorun olmadı.bide normal gözlük gibi değil çok hafifler ama iş gorur,1,1
İlk sürüldüğünde çok güzel görünüyor fakat 2-3 saat sonra burun kenarlarında pul pul olmaya başlıyor.,0,2
"Paketleme güzeldi, kargo hızlıydı. Ürünün kumaşı yumuşacık çok güzel. Tam bedeninizi alabilirsiniz. Ben çok beğendim. Teşekkür ederim",2,3
Harika kokuyor kalıcılığıda mükemmel gün boyu gidiyor,2,3
Küpeler güzel fakat bana olmadı büyük geldi,1,1
Ürün içi fotokopi basımı o yüzden beğenmedim,0,2
Pek sevmedim ben,0,3
çocuk akademi ürünlerini seviyoruz teşekkürler,2,3
cok iyi cok iş görüyor,2,3
hevesle almistim ama saclar birbirine dolasiyor cok kullanisli degil,1,2
Ürün ilk hafta patladı   Nedenini bilmiyorum ama aradım yetkili servisi sagolsunlar yardımcı oldular gönderdim inşallah sağlam gelir ve bir daha sorun yaşamam,0,2
Paketleme güzeldi bir haftada elime ulaştı ama ürün beklediğimden çok fazla inceydi kışlık değil ama baharlık olarak giyilebilir,1,1
Suntada çatlak vardı. Keşke ürün kontrol edilip gönderilseydi. Vaktim olmadığı için iade edemedim.,1,2
Mükemmel bir güneş kremi arıyorsanız gözünüz kapalı alabilirsiniz pigmenti çok çok güzel başarılı bir ürün ben çok beğendim,2,3
75 kilo olan beni 69 tartiyir iadeeeee,0,3
Özet kitabı olarak kullanılması güzel,1,1
Makyaj Sabitleyici Ürün performansıni hic begenmedim,0,2
Kendi kenliğinden kopuyor duvardan yapışkan çok kalitesiz,0,3
bel kısmı göründüğü kadar yüksek değil maalesef ve kumaş çok çabuk yıpranıyor,1,2
Kullanisli güzel,1,1
Yapıştıracağım şeyi tükürerek yapıştırsam daha sağlam tutar. Umarım sadece bana gelen ürün yapışma konusunda sıkıntılıdır. Aldığım en kötü çift taraflı bant.,0,3
fiyatına göre fena degil is görür,1,2
Standart fena değil ama ben kendime yakıştırmadım çok büyük,1,2
Ürün idareten bir ürün. Köşe birleştirme plastikleri montaj yaparken kırıldı. Plastik kalitesi iyi degil,1,1
Genel olarak çoraplarla sevmediğim özellik tüylenme yapıp her yerde çorap tüyünün bulaşması bu çoraplarla malesef böyle hoşuma gitmedi.,0,2
4 bucuk yas 17kilo ogluma 2beden aşırı uzun geldi ve yakası cok acik kaldi .fiyat uygun kalite guzel oldugu icin iade etmeyeceğim,1,2
Zayıfların alıp memnun kaldığı korse yorumlarındansa beni dinleyin arkadaşlar. Onlar her şeyden memnun kalır zaten dal gibiler pötürdeyen etleri de yok.. neyi tDevamını Oku,2,3
Çok beğendim. Kaliteli.,2,3
unisex deniyor ama erkek için küçük olduğunu söyleyebilirim kadinlar için daha uygun,1,2
güzel beğendim fakat bir tarafı kırılmış geldi bir daha almam,0,2
